Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
basefootprint_link,0,1.11022302462516E-16,-0.0165,0,0,0,40.12833,2.41961604813898,0.00979349757253783,-3.46348297131225E-19,1.29747784781603,2.94246210047988E-16,3.70981060406001,0,0,0,0,0,0,package://robot assy.SLDASM/meshes/basefootprint_link.STL,0.988235294117647,0.984313725490196,1,1,0,0,0,0,0,0,package://robot assy.SLDASM/meshes/basefootprint_link.STL,,floor-1,footprint,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_link,-0.00164219166090096,-0.0361894519725367,0.582086232959336,0,0,0,38.5841907210089,1.94197264059665,0.00713596425149988,-0.000642438598698668,1.12447543859211,0.0721839356855261,2.71974540999521,0,0,0,0,0,0,package://robot assy.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot assy.SLDASM/meshes/base_link.STL,,ODR_REV1_ASSY_REV2-1-1,BASE,,base_joint,fixed,0.00089997,0,0.089894,0,0,0,basefootprint_link,0,0,0,,,,,,,,,,,,
FL_steering_link,-0.0475735313962518,0.00186107687732573,-0.0677613689716037,0,0,0,0.215025529188034,0.000198183542175169,-1.3349793725885E-05,-3.32629600062834E-05,0.000199595091165542,-2.84687052890827E-05,0.0001695430097707,0,0,0,0,0,0,package://robot assy.SLDASM/meshes/FL_steering_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot assy.SLDASM/meshes/FL_steering_link.STL,,FL-joint^robot assy-1,Coordinate System8,Axis6,FL_steering_joint,continuous,0.241621591099171,-0.287902443050945,0.1095,0,0,0,base_link,0,0,1,,,,,,,,,,,,
FL_wheel,-6.33164459307167E-07,7.24319215807123E-06,0.0298545011765312,0,0,0,0.958024018560993,0.00158537287142923,-2.9584644178286E-09,-3.34102631120875E-08,0.00158540670170445,3.81832211648325E-07,0.00270273979063561,0,0,0,0,0,0,package://robot assy.SLDASM/meshes/FL_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot assy.SLDASM/meshes/FL_wheel.STL,,FL_wheel^robot assy-1,Coordinate System5,Axis5,FL_wheel_joint,continuous,-0.0305911790614908,-0.00114332801035,-0.120198042415907,-1.5707963267949,0,-1.56206968053491,FL_steering_link,0,0,1,,,,,,,,,,,,
FR_steering_link,0.0475332676644014,0.00275311602446848,-0.0677612853470633,0,0,0,0.215025528947219,0.000197718490479999,1.32930141918077E-05,3.37551609187015E-05,0.000200060279861215,-2.79346804830956E-05,0.000169542872761945,0,0,0,0,0,0,package://robot assy.SLDASM/meshes/FR_steering_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot assy.SLDASM/meshes/FR_steering_link.STL,,FR-joint^robot assy-1,Coordinate System6,Axis8,FR_steering_joint,continuous,-0.238360131971625,-0.292091180090165,0.1095,0,0,0,base_link,0,0,1,,,,,,,,,,,,
FR_wheel,-7.25632208209426E-06,-5.02980211800064E-07,-0.0298544958122798,0,0,0,0.958023968371171,0.0015854067935003,2.35162659253672E-09,3.82180143814828E-07,0.00158537266869454,2.63310496845712E-08,0.00270273963326959,0,0,0,0,0,0,package://robot assy.SLDASM/meshes/FR_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot assy.SLDASM/meshes/FR_wheel.STL,,FR-wheel^robot assy-1,Coordinate System7,Axis7,FR_wheel_joint,continuous,0.0306064737018755,-0.000609264185578828,-0.120198042415909,-1.5707963267949,0,-1.56206968053492,FR_steering_link,0,0,-1,,,,,,,,,,,,
RL_steering_link,-0.0475332676644018,-0.0027531160244687,-0.0677612853470547,0,0,0,0.215025528947221,0.000197718490480003,1.32930141918064E-05,-3.37551609187014E-05,0.000200060279861221,2.79346804830953E-05,0.000169542872761945,0,0,0,0,0,0,package://robot assy.SLDASM/meshes/RL_steering_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot assy.SLDASM/meshes/RL_steering_link.STL,,RL-joint^robot assy-2,RL_STEER,Rl_AXIS,RL_steering_joint,continuous,0.236560200510107,0.292075472326287,0.109500000000001,0,0,0,base_link,0,0,1,,,,,,,,,,,,
RL_wheel,7.27159198632421E-06,-6.51543927837617E-08,0.0298545007582798,0,0,0,0.95802401302459,0.00158540700752927,-2.83636381736739E-10,3.8324607122713E-07,0.00158537256099176,-3.41343993328251E-09,0.00270273976518547,0,0,0,0,0,0,package://robot assy.SLDASM/meshes/RL_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot assy.SLDASM/meshes/RL_wheel.STL,,RL-wheel^robot assy-1,Coordinate System9,Axis9,RL_wheel_joint,continuous,-0.0306064737018754,0.000609264185579161,-0.120198042415909,-1.57079632679489,0,-1.56206968053493,RL_steering_link,0,0,1,,,,,,,,,,,,
RR_steering_link,0.0475735313962523,-0.00186107687732562,-0.067761368971604,0,0,0,0.215025529188032,0.000198183542170154,-1.33497937261377E-05,3.32629600070807E-05,0.000199595091161019,2.84687052871704E-05,0.000169543009769997,0,0,0,0,0,0,package://robot assy.SLDASM/meshes/RR_steering_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot assy.SLDASM/meshes/RR_steering_link.STL,,RR-joint^robot assy-3,Coordinate System11,Axis11,RR_steering_joint,continuous,-0.24342152256069,0.287886735287059,0.109500000000002,0,0,0,base_link,0,0,1,,,,,,,,,,,,
RR_wheel,7.20462982484182E-06,9.68505780116202E-07,-0.0298544958076753,0,0,0,0.958023969041703,0.00158540634795059,4.53161844102951E-09,-3.79997418333319E-07,0.00158537311547568,-5.12644367348954E-08,0.00270273963443473,0,0,0,0,0,0,package://robot assy.SLDASM/meshes/RR_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot assy.SLDASM/meshes/RR_wheel.STL,,RR-wheel^robot assy-1,Coordinate System10,Axis10,RR_wheel_joint,continuous,0.0305911790614906,0.00114332801034964,-0.12019804241591,-1.5707963267949,0,-1.56206968053492,RR_steering_link,0,0,-1,,,,,,,,,,,,
